player,position,beerSheets_proj_pts,espn_proj_pts,fantasyData_proj_pts,ffToday_proj_pts,cbs_proj_pts,scout_proj_pts,numberFire_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,fantasySharks_proj_pts
Jared Goff,QB,-5.8336398615789475,182.9,189.92,147.3,206,244.9,214.06,156.568601129694,103.154,161.04,140.07
Mike Glennon,QB,-7.3257187389473675,127.2,132.8,147.0,225,243.0,234.63,164.669875136618,183.9174,192.12,191.756
Josh McCown,QB,-8.207245722631578,103.9,129.34,141.7,185,215.9,196.31,132.81919241519,166.6046,77.11,182.588
Deshaun Watson,QB,-8.37808522631579,144.3,132.64,124.3,81,273.5,91.03,119.151769097308,101.07152448251291,205.0,4.55
DeShone Kizer,QB,-9.11145359625,186.3,165.62,128.2,196,221.8,229.09,134.811462506082,139.9256482624707,171.42,17.75
David Johnson,RB,10.142387520000002,291.4,281.4,287.0,254,324.7,290.07,278.19290804925,270.553,258.5,292.65
LeVeon Bell,RB,8.729121740526315,287.9,256.7,256.1,244,320.9,288.72,260.206505127273,263.296,254.0,248.23
LeSean McCoy,RB,5.7510329347368385,211.1,213.3,207.1,208,226.2,227.31,213.086467883833,243.30900000000003,199.1,189.0
Melvin Gordon,RB,5.26682505,203.3,201.1,197.3,196,233.5,214.25,197.541698405261,191.441,199.8,185.55
Devonta Freeman,RB,5.135769796842103,208.0,212.0,205.4,206,221.9,217.64,207.80936527437402,217.401,199.2,197.27
Jordan Howard,RB,5.0027224484210535,206.1,200.2,201.1,193,208.0,200.83,203.733946764022,208.653,195.2,209.37
Jay Ajayi,RB,4.8550625699999985,210.8,195.2,194.1,170,227.6,199.31,195.276811000088,188.345,209.4,181.36
DeMarco Murray,RB,4.432469846842107,190.6,189.0,189.7,173,188.9,215.29,189.15904916688203,180.10299999999995,203.6,184.4
Todd Gurley,RB,3.746996800526317,204.5,190.9,181.2,156,217.0,180.0,183.177914608804,176.753,180.6,179.25
Ezekiel Elliott,RB,3.4302646436842097,163.2,165.4,159.6,160,212.4,173.4,173.415025748887,216.251,167.4,167.26
Leonard Fournette,RB,3.1808455347368425,200.4,169.7,170.8,149,226.6,151.87,175.14299202463798,140.366,194.0,187.86
Lamar Miller,RB,3.0562007578947363,177.8,168.9,179.5,147,158.5,179.18,171.93264761683,181.264,157.2,181.82
Isaiah Crowell,RB,2.8304290673684216,171.3,170.5,144.0,149,194.4,154.42,160.18178379686,152.06,159.2,162.71
Marshawn Lynch,RB,2.6320955447368424,180.3,155.3,154.6,131,194.6,137.39,164.722392493589,176.87900000000005,162.6,178.51
Dalvin Cook,RB,2.078705393157895,161.2,156.5,171.0,147,192.6,125.18,144.817127494238,48.337,144.4,165.93
Carlos Hyde,RB,2.071130453157895,161.7,141.4,144.3,139,180.2,143.68,154.073140869558,154.672,170.1,169.56
Spencer Ware,RB,1.6787968705263154,157.5,147.4,144.9,151,168.0,156.64,151.133364888225,158.873,156.6,137.36
Christian McCaffrey,RB,1.6402634044444435,148.9,152.4,129.1,165,178.0,151.99,141.847427965039,54.67,160.3,166.01
Mark Ingram,RB,1.547296272631579,156.7,146.9,157.8,150,158.0,135.62,160.098558587961,191.073,143.9,170.4
Joe Mixon,RB,1.3695403915789477,150.1,152.7,145.2,139,174.2,139.82,135.886429947002,48.235,139.6,155.6
Ty Montgomery,RB,1.3121646536842109,150.6,152.1,152.0,131,169.8,145.91,152.8442280809,165.636,146.8,161.85
Bilal Powell,RB,1.0899377000000001,136.9,145.1,157.1,123,138.1,135.14,145.834788671547,145.37,152.6,144.96
CJ Anderson,RB,1.0169673752631578,135.4,131.2,134.1,115,145.0,130.89,143.469887739905,169.327,143.1,175.98
Tevin Coleman,RB,0.9105068289473685,128.4,140.5,126.3,154,163.2,128.24,139.91086317298402,138.425,150.2,128.61
Ameer Abdullah,RB,0.8863910294736841,147.0,135.9,117.1,123,153.0,143.63,130.505379438643,109.778,116.2,151.69
Frank Gore,RB,0.8585364642105261,159.9,141.1,149.6,103,133.3,136.22,140.388758816533,172.011,105.2,148.73
Mike Gillislee,RB,0.7719806531578945,129.1,123.1,110.8,125,156.3,125.23,134.820545852499,127.65927123308359,150.36,165.7
Terrance West,RB,0.5207804931578947,147.3,132.4,125.3,110,106.1,106.74,130.448372963169,140.501,111.2,138.48
Rob Kelley,RB,0.26299751222222195,139.1,122.2,113.8,112,110.3,115.35,130.17153453906,169.565,120.83,127.85
Paul Perkins,RB,0.2366233863157893,135.2,130.8,141.7,108,141.2,120.82,141.313126400956,157.77700000000004,167.5,132.98
Doug Martin,RB,0.15779701052631548,119.6,124.1,117.6,101,178.0,105.34,104.791531969298,5.565,118.6,131.93
Adrian Peterson,RB,0.07967469210526316,134.6,109.4,103.2,84,156.2,103.2,113.878584992144,98.693,137.9,124.36
Eddie Lacy,RB,0.03218125105263154,129.6,123.0,130.6,93,130.4,129.05,130.50991294315202,133.844,152.1,142.53
Matt Forte,RB,-0.22404969000000027,122.5,112.1,103.1,89,115.0,114.93,119.066073992604,152.102,107.5,144.22
LeGarrette Blount,RB,-0.22911398368421065,111.2,107.2,105.9,103,145.7,103.92,123.506265189071,149.716,120.91,166.34
Jonathan Stewart,RB,-0.3332489621052632,124.1,109.9,126.7,104,118.0,101.54,123.42271643321101,169.21099999999996,97.6,141.58
Danny Woodhead,RB,-0.6509865021052632,116.9,120.7,94.1,102,114.8,115.36,106.59523443964198,134.037,73.7,95.5
Derrick Henry,RB,-0.7193746300000002,101.5,103.3,118.0,93,171.5,87.11,111.133996276959,95.402,116.9,137.24
Theo Riddick,RB,-1.0712594484210527,111.5,106.3,117.1,90,100.5,114.44,106.858145480722,94.818,106.1,110.77
Duke Johnson,RB,-1.1159549431578948,113.7,107.6,104.7,82,90.3,95.75,108.49429941375799,94.559,124.3,118.06
Kareem Hunt,RB,-1.2396015036842103,103.4,101.4,91.1,118,118.7,85.8,97.77533990723879,46.283,90.5,123.93
Darren McFadden,RB,-1.5236838005263158,115.4,89.7,91.2,79,83.3,84.32,98.48360100570049,94.613,95.2,122.29
Darren Sproles,RB,-1.701703507368421,105.9,97.8,99.7,87,87.0,95.32,100.143157530552,96.844,100.0,103.94
Giovani Bernard,RB,-2.0863285473684208,116.0,85.1,83.2,55,73.0,93.79,94.5715854608787,115.324,95.4,108.38
Thomas Rawls,RB,-2.1202482042105264,61.1,86.3,82.8,120,102.1,79.4,91.3106555208276,57.74,79.69,143.29
Jeremy Hill,RB,-2.213077699473684,52.0,76.7,73.2,89,110.1,90.05,105.06969219956899,157.485,102.2,151.66
Latavius Murray,RB,-2.220476293684212,71.8,68.6,58.2,77,108.5,101.7,97.87412726721381,146.5,108.7,120.52
James White,RB,-2.369818508947369,93.3,91.1,93.6,86,87.7,84.26,103.928758957351,165.313,97.6,91.35
Jamaal Charles,RB,-2.434522596315789,96.1,81.0,66.2,88,98.1,77.91,86.50731008419879,79.758,93.0,103.73
CJ Prosise,RB,-2.518157394736842,85.0,82.4,66.0,82,96.8,77.58,84.1012407366088,64.949,99.2,97.32
Samaje Perine,RB,-2.568075107894736,43.5,68.6,68.2,84,167.4,93.91,74.99000230896291,44.073,121.9,68.12
Chris Thompson,RB,-2.608871190526316,94.0,83.8,87.2,70,72.5,77.45,89.6432096084861,75.705,101.8,101.45
Jamaal Williams,RB,-2.665930321052631,67.9,80.4,80.1,99,112.0,73.4,81.39679031765809,51.238,95.56,80.93
Rex Burkhead,RB,-2.892656776842105,90.9,73.6,106.4,43,112.0,53.15,86.7898420885173,97.903,86.0,83.31
Shane Vereen,RB,-2.974719226842105,89.0,75.6,89.1,49,70.5,68.33,85.8147670266514,99.35,105.6,70.16
DeAndre Washington,RB,-3.0137691968421048,61.4,68.9,83.1,58,75.6,69.12,74.89737561232909,73.02600000000002,88.0,75.7
Jacquizz Rodgers,RB,-3.0209041552631577,66.0,71.8,69.6,49,63.6,98.1,71.6900778172307,59.894,59.8,120.69
Charles Sims,RB,-3.3239124578947368,88.2,73.5,68.8,82,60.0,72.49,97.43984939926321,148.792,87.4,109.18
Jonathan Williams,RB,-3.3456590922222222,68.5,56.7,71.9,78,109.0,36.6,68.19805652594499,29.227,81.16,73.66
Dion Lewis,RB,-3.388677051578947,65.8,63.7,75.1,76,73.0,74.24,79.7407212401382,83.304,78.0,96.26
Jaguars,DST,,111.0,100.0,104.0,178,106.0,148.84,101.678051653829,103.54,96.5,94.4
Seahawks,DST,,109.3,99.0,112.0,212,131.0,169.38,105.562174898052,106.78,110.7,103.3
Steelers,DST,,105.8,95.0,109.0,184,105.0,135.76,104.74131400090599,100.32,99.3,105.4
Rams,DST,,105.7,94.0,104.0,135,107.0,139.03,101.736577946768,120.72,100.29566681710706,106.55218631178707
Bengals,DST,,105.3,89.0,95.0,170,110.0,139.13,94.93350702310828,94.45,90.1,101.6
Cardinals,DST,,103.7,120.0,137.0,230,121.0,165.32,122.990978704123,95.01,106.4,141.4
Chargers,DST,,103.5,108.0,108.0,159,101.0,129.97,97.7863876889849,95.91,84.0,103.6967680608365
Vikings,DST,,103.1,111.0,102.0,207,119.0,153.89,111.458210240145,109.33,105.6,106.1
Texans,DST,,101.8,110.0,104.0,218,125.0,174.9,111.21629814227501,100.53,106.4,116.0
Broncos,DST,,101.8,109.0,133.0,229,129.0,177.94,118.666094245582,105.23,113.1,127.2
Ravens,DST,,101.5,102.0,105.0,219,108.0,149.98,102.833892161305,97.1,101.1,88.5
