player,position,my_proj,posRank,VOR,flexRank,flexVOR
Golden Tate,WR,110.28468709573907,20.0,21.901192103680287,54.0,20.2293849733378
DeAndre Hopkins,WR,110.25288178088188,21.0,21.869386788823093,55.0,20.197579658480606
Emmanuel Sanders,WR,109.74217723395486,22.0,21.358682241896076,57.0,19.68687511155359
CJ Anderson,RB,123.37798503057316,27.0,21.312862890682027,39.0,33.322682908171885
Mike Gillislee,RB,123.12008237411214,28.0,21.054960234221014,40.0,33.06478025171087
Eddie Lacy,RB,122.62696077408756,29.0,20.561838634196434,41.0,32.57165865168629
Martavis Bryant,WR,108.65008712633244,23.0,20.26659213427365,59.0,18.594785003931165
Frank Gore,RB,122.16584926364418,30.0,20.100727123753046,42.0,32.110547141242904
Keenan Allen,WR,107.10365647986765,24.0,18.720161487808866,62.0,17.04835435746638
Jarvis Landry,WR,106.67137965544212,25.0,18.287884663383338,63.0,16.61607753304085
Tom Brady,QB,270.3512815097638,2.0,17.864140506638165,,17.864140506638165
Larry Fitzgerald,WR,105.8700902371802,26.0,17.486595245121407,65.0,15.81478811477892
Tyreek Hill,WR,105.46323657951395,27.0,17.07974158745516,66.0,15.407934457112674
Spencer Ware,RB,118.57090805434704,31.0,16.505785914455913,44.0,28.51560593194577
Willie Snead,WR,103.83396100853126,28.0,15.450466016472475,67.0,13.778658886129989
Greg Olsen,TE,97.8514674497877,2.0,14.884198287026209,76.0,7.796165327386433
Travis Kelce,TE,97.77508830596098,3.0,14.807819143199481,77.0,7.719786183559705
Stefon Diggs,WR,102.44979876890905,29.0,14.066303776850262,68.0,12.394496646507775
Randall Cobb,WR,102.3121914423439,30.0,13.928696450285116,69.0,12.25688931994263
Jordan Reed,TE,96.67089922361285,4.0,13.703630060851353,80.0,6.615597101211577
Julian Edelman,WR,102.0431988517223,31.0,13.659703859663509,70.0,11.987896729321022
Cardinals,DST,133.7380544759162,1.0,12.936363235844254,,12.936363235844254
Jamison Crowder,WR,100.32844941251551,32.0,11.944954420456725,72.0,10.273147290114238
Kenny Britt,WR,99.49817484380604,33.0,11.114679851747255,73.0,9.442872721404768
